Stage,The rule in plain words,Real example,The numbers,What happened,Why the rule exists
1. Pulled in,"We ask TikTok for the newest videos about each competitor, not the most popular ones",all 507 videos this morning,57 searches x 15 videos each,All of them come in at this point. Nothing is judged yet.,If we asked for popular videos we would only ever see things that already blew up last week.
2. Must name the app,The caption or hashtags have to actually say the competitor's name,https://www.tiktok.com/@midnight.with.jane/video/7683960561608002848,"612,131 views. A ghost story. Found by the search 'speak app'.","THROWN OUT. Big video, nothing to do with us.",TikTok search is loose. It gives you anything that sounds vaguely similar.
2. Must name the app,"Same rule, another example",https://www.tiktok.com/@viettel_media/video/7683853375519214869,"595,797 views. A Vietnamese singing video. Found by 'linguza english tutor'.",THROWN OUT.,Proof the filter is doing real work. 455 of 507 videos died here today.
2. Must name the app,"Same rule, another example",https://www.tiktok.com/@aspor/video/7683991292417772807,"449,889 views. A Turkish football press conference. Found by 'falou'.",THROWN OUT.,"'Falou' means 'spoke' in Portuguese, so the search drags in anything."
2. Must name the app,A video that PASSES the rule,https://www.tiktok.com/@learnwithcare/video/7684034267613269269,"18,836 views. Caption says 'La app que uso se llama praktika'.",KEPT. It names Praktika directly.,This is what we are actually looking for: a real person talking about a competitor's app.
2b. Whole words only,"We match whole words, not pieces of words",https://www.tiktok.com/@syarifayeh01/video/7684127196213955858,"Malay post tagged #TamatPraktikal, which means 'internship finished'.",THROWN OUT (used to be kept by mistake).,'Praktika' sits inside the Malay word 'praktikal'. Short brand names crash into ordinary foreign words all the time.
2b. Whole words only,"Same bug, a car advert",https://www.tiktok.com/@intanquzainurperodua/video/7684046794161949959,A Perodua car advert using the Malay word 'praktikal'.,THROWN OUT (used to be kept by mistake).,Was landing on the Praktika list every single day until this was fixed.
3. Not the brand itself,If the company posts on its own account we ignore it,https://www.tiktok.com/@elsaspeak/video/7314405902440746248,"2,600,000 views, posted by ELSA Speak's own account.",THROWN OUT despite being the biggest video we saw.,That is just ELSA advertising. It tells us nothing about whether something is spreading on its own.
4. Under two minutes,Videos longer than 2 minutes are dropped,https://www.tiktok.com/@english.anytime.anywhere/video/7607494721203817731,8 minutes long. A Loora app review.,THROWN OUT.,An 8 minute review is not short form creative. We would never rebuild it as an ad.
SCORE: pushed to new people,Is TikTok handing it to bigger and bigger audiences. Worth 22%,no example today,Every video had only 1 measurement.,Could not be calculated for any video today.,"You need several measurements hours apart. The 30 minute job supplies them. It was broken until today, which is why this column is empty."
SCORE: big for its age,Views compared to what a normal video has by the same age. Worth 20%,https://www.tiktok.com/@merhabadeutsch/video/7683568857994366230,"137,876 views at 41 hours old. Normal is about 1,000 by then.",140 times normal. Highest of the day.,"20,000 views is boring after a week and amazing after two hours. Age is the whole point."
SCORE: big for its age,The opposite case,https://www.tiktok.com/@studywithangel_111/video/7682538922630581526,604 views at 107 hours old.,0.25 times normal. Well below par.,Four days old and still tiny. Nothing is happening here.
SCORE: speeding up,Is it growing faster than it was. Worth 18%,no example today,Needs 3 measurements. Every video had 1.,"Skipped, and the other signals were re-weighted to fill the gap.","We never score a missing signal as zero. That would punish a video for being new, which is backwards."
SCORE: how people react,"Shares, saves, comments and likes. Worth 15%",https://www.tiktok.com/@merhabadeutsch/video/7683568857994366230,"2,429 shares on 137,876 views. That is 1.76 people in every 100.",Rated GOOD. The only video today above 1 in 100.,A like means 'I enjoyed that'. A share means 'someone else needs to see this'. Only one of those tells you the idea travels.
SCORE: how people react,A video with lots of views but nobody sharing,https://www.tiktok.com/@englishwithmajuda/video/7683950710215560480,"56,244 views but only 17 shares. That is 0.03 in every 100.",Rated below normal.,"People watched it. Almost nobody passed it on. Good to know Praktika is spending, weak as an idea to copy."
SCORE: big for this creator,Views compared to what this person usually gets. Worth 15%,https://www.tiktok.com/@learnwithnastia/video/7684148480180374804,"3,966 views from an account with 17 followers.",233 times more views than followers.,It escaped her own audience completely. That is what going viral actually means.
SCORE: raw speed,Plain views per day. Worth only 5%,https://www.tiktok.com/@merhabadeutsch/video/7683568857994366230,"About 80,000 views per day.","Counted, but barely.",By the time raw speed looks impressive the video has already peaked. It is the slowest signal to react.
SCORE: freshness,A small nudge for newer videos. Worth 5%,https://www.tiktok.com/@learnwithnastia/video/7684148480180374804,3 hours old.,Small boost.,Tiebreaker only. Halves every 36 hours.
LABEL: EXPLODING,"200,000+ views in the first 24 hours",no example today,Nothing hit it.,Empty.,This is rare. Most days will have none.
LABEL: BREAKING OUT,"50,000+ views in the first 24 hours",https://www.tiktok.com/@englishwithmajuda/video/7683950710215560480,"56,244 views at 16 hours old.",1 video today.,Big and fast. Worth a look even though the share rate was weak.
LABEL: INTERESTING,"10,000+ views in the first 24 hours",https://www.tiktok.com/@learnwithcare/video/7684034267613269269,"18,836 views at 11 hours old.",3 videos today.,Doing well for its age but not yet unusual.
LABEL: WATCH,Anything else under 24 hours old,https://www.tiktok.com/@learnwithnastia/video/7684148480180374804,"3,966 views at 3 hours old.",31 videos today. The biggest group.,Too new to judge. Check again in a few hours.
LABEL: DAY TWO,Anything else under 48 hours old,https://www.tiktok.com/@merhabadeutsch/video/7683568857994366230,41 hours old.,11 videos today.,"Had a full day already, so check it is still moving before spending time on it."
LABEL: TOO OLD,Past 72 hours it is no longer a candidate,https://www.tiktok.com/@studywithangel_111/video/7682538922630581526,"107 hours old, 604 views.",6 videos today. Scored low and pushed down.,"The takeoff window has closed. Whatever it was going to do, it did."
PENALTY: already famous,"Score cut to a quarter above 500,000 views and 2 days old",https://www.tiktok.com/@elsaspeak/video/7314405902440746248,"2,600,000 views, posted in 2023.",Would be cut to a quarter (it was also removed as a brand post).,"Everyone has seen it. The copies already shipped. You would be reading the news, not breaking it."
BONUS: jackpot,25% boost when a small account suddenly gets big numbers,https://www.tiktok.com/@merhabadeutsch/video/7683568857994366230,"524 followers, 137,876 views.",Got the boost.,"When a tiny account gets huge numbers it is almost always the content doing the work, not the audience. That is the shape worth copying."
DIRECTION: EARLY SIGNAL,"Score 35 or more, under 2 days old",https://www.tiktok.com/@learnwithcare/video/7684034267613269269,Score 48.,27 videos today.,Worth attention. Most of the list sits here.
DIRECTION: STEADY,Everything else,https://www.tiktok.com/@learnarabicwithfu/video/7683808872758267143,Score 29.5.,"Went to the sheet, not the morning list.",Nothing wrong with it. Just nothing happening.
FEED: score 30 or more,Below 30 it goes in the sheet but not the morning list,https://www.tiktok.com/@ingleswithstephanie/video/7683940190460677384,Score 30.41. The lowest video that made the list.,SCRAPED IN at 30.41.,Just above the line. The one at 29.5 missed it by a point.
FEED: max 6 per competitor,One brand cannot take over the morning,Lingopanda,17 Lingopanda videos scored today.,Only the best 6 could appear on the morning list.,Otherwise a brand running 17 seeded creators would fill your whole screen and hide everyone else.
FEED: max 3 per creator,One person cannot take over either,@praktikawith.sk,3 videos from this one account today.,All 3 allowed. A 4th would have been cut.,Stops one busy creator crowding out the rest.
RE-CHECK LIST,Score over 35 and under 3 days old gets re-measured every 30 minutes,https://www.tiktok.com/@merhabadeutsch/video/7683568857994366230,"Score 100, 41 hours old.",On the re-check list.,"This is the only way to see whether TikTok is pushing it to new audiences, which is the biggest signal we have."
CANNOT KNOW: watch time,How long people watched,n/a,Not published by TikTok for videos you do not own.,Never appears anywhere.,Only the account owner can see it. Anyone selling you a competitor's watch time is guessing.
CANNOT KNOW: ad spend,What competitors spend on ads,n/a,Meta publishes no spend or impressions for US commercial ads.,Ads are judged on how long they have run and how many versions exist.,Advertisers kill losing ads fast. An ad still running after 3 weeks is being paid for because it works.
NOT CHECKED is not ZERO,"A search that failed is labelled, never counted as nothing found",27 of 57 searches today,The scraper stopped after 30 searches.,Those 27 are marked NOT CHECKED.,'We looked and found nothing' and 'we never looked' are completely different answers. Mixing them up would hide a competitor going viral.
